Keyword,Dataset_1_Rules,Dataset_2_Rules,DS1_Percentage,DS2_Percentage
Coffee,0,2791,0.0%,27.9%
Tea,0,786,0.0%,7.9%
Scone,4,3277,100.0%,32.8%
Croissant,0,2145,0.0%,21.4%
Latte,0,2114,0.0%,21.1%
Espresso,0,663,0.0%,6.6%
Chai,0,4121,0.0%,41.2%
Chocolate,0,3612,0.0%,36.1%
Biscotti,0,2041,0.0%,20.4%
Cappuccino,0,1558,0.0%,15.6%
